"","Last name","Name","Date and Place of birth","Education","Parliamentary Experience","Province","Votes","Total Votes","Percentage","Constituency","Career backgrounds","Term","Marital status"
"277","youssefiyan Molla","Ezatollah"," 1951, Amol","Ph.D. in International Private Law","7th Term, 8th Term, 9th Term","Mazandaran","84453","181967","46/41","Amol, Larijan","Deputy Head of Supreme Court","10th Term",NA
"278","Youssefnajad","Ali Asghar"," 1959, Sari","BS in Industrial Engineering","5th Term, 8th Term","Mazandaran","116540","256329","45/46","Sari, Miandoroud","Deputy Minister of Economy and Finance","10th Term",NA
"279","Zahedi","Mohammad mahdi"," 1954, Kerman","Ph.D. in Applied Mathematics","9th Term","Kerman","108316","306934","35/28","Ravar, Kerman","Teaching at  University","10th Term",NA
"280","Zaheri Abde Vand","Ali Asgar"," 1957, Masjed-E-Soleyman","MA in Public Management",NA,"Khuzestan","45522","82193","55/38","Masjed-E-Soleyman, Lali,  Haftkel, Andika","State Welfare Organization Employee","10th Term",NA
"281","Zar Abadi","Seyed Hamide"," 1980, Qazvin","MS in Mechatronics engineering",NA,"Qazvin","107939","332488","32/46","Abyek, Qazvin, Alborz","Inspector of Communications Regulatory Authority","10th Term",NA
"282","Zare","Rahim"," 1975, Bovanat(Sarchhan)","Ph.D. in Strategic Commercial Management","9th Term","Fars","32768","98784","33/17","Abadeh, Bovanat, Khorambid","Faculty Member of Allameh Tabatabai University University","10th Term",NA
"283","Zarei","Gholam Mohammad"," 1966, Boyer-Ahmad","Ph.D. in Management","9th Term",NA,"48500","181089","26/78","Boyer-Ahmad, Dena","Kohgiluyeh and Boyer-Ahmad  Provincial Governor","10th Term",NA
"284","Zolghadr","Seyed Mostafa"," 1946, Roodan","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza","Second Term, Third Term, 6th Term, 8th Term","Hormozgan","75175","247038","30/43","Roodan, Minab, Jask, Bashagard, Sirik","Teaching at Hawza","10th Term",NA
"285","Zolghadr","Seyede Fatemeh"," 1970","Ph.D. in Arabic Literature",NA,"Tehran","1155284","3244056","35/61","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Teaching at  University","10th Term",NA
"286","Zolnouri","Mojtaba"," 1963, Malayer","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza, Ph.D. in Strategic Management",NA,"Qom","168397","443797","37/94","Qom","Deputy Representative of Supreme Leader","10th Term",NA
